start	end	text
373920	381000	performances and everything if we want to move it on to that or not okay
381040	387160	so guys we'll talk about that in future in summit let's come back to today's
387160	394640	class we'll get started yeah so guys in last class we'll discuss something
394640	400240	called as flexbox can anyone can all of you define in your own terms what is
400240	406720	flexbox actually what did you understood by this one just I'm having a recap of
406720	411600	what we have learned in last class can anyone give me what do they understand
411600	419800	this by the word flexbox any keyword that you have
420000	428120	okay so Kiran says for layout okay auto layout as per screens right yeah
428120	441440	layout can we say this is as a flexible box box for cross screen development
441440	448080	songs cross-screen layouts like multi-screen layouts like whatever it is
448080	454720	right yeah to build a responsive website as per screen dimension right so yeah we
454720	458860	have understood this one now the second question that I want to ask with a
458860	463400	flexbox is a one-direction layout or two-direction layout
469120	476520	guys it's one direction it's not two direction people who have you know
476520	481160	replying me 2d I'll talk on that I haven't I've told her it's a one
481160	490400	direction the reason you arrange only items depending on flex direction right
490400	498680	and flex direction can be either row or column only one direction isn't it either
498680	503600	you pick it up yeah so you are putting all your items either in row or in
503600	510120	column and depending on that you are moving that items right now when I put
510120	517360	row what would be the main axis case when I put flex direction as a row what
517360	532360	could be the main axis X and cross axis would be y ultimately similarly vice
532400	539400	versa right now when I'm considering let's say I'm considering row as an
539400	544000	example what does justify
545080	548280	content us
548640	554480	what does justify content as us give it for give it to us
555480	565680	quick guys quick justify content spread end-to-end but on which direction on
565680	570320	which direction on main axis or cross axis
570640	576320	so it helps us to move the elements on a main axis right
576320	589120	move items on main axis then when it comes to align items
606320	609360	you
636680	638740	you
661120	665240	you guys I'm audible
666840	672000	I think my had a network connection I got stuck in between I had to connect
672000	680920	with my mobile hotspot pardon me for that but again okay let's get back to
680920	686400	this one guys now after justify content and align items we learned one of the
686400	692160	one more property which is used to you know stop overflowing of elements into
692160	697880	the one single line such that you know as we move the screen width and width it
697880	710160	pushes the other items to the below of wrap right yeah flex wrap so so we used
710160	714760	to wrap all the items such that you know those take whatever space is needed and
714760	719960	push the other items to the below right then we understood another property
719960	726960	called a line content like you are if you have flexible container whatever
726960	731320	container you have defined it if it's a larger in size and all the elements are
731320	735080	being fitted in only top like let's say you have three four elements there is
735080	739720	enough space to move all this other items if you want to move anywhere those
739720	743840	all content right on the in that container you can use a line content
743840	759240	again move all items inside container right these are the properties that we
759240	763960	discussed on a container specific like any property that you remember guys on
764160	776520	children elements on items on child items right so can I say order in if you
776520	782560	want to change the order of particular like rendering process like if you want
782560	787640	to move the element from two to three three to one right order then you had a
788640	798640	sorry flex grow like if you are increasing the screen width how the item
798640	803400	should particularly you know react to it like how much by in which ratio it
803400	808400	should grow then we used flex should grow and similarly for the opposite we
808400	812360	use flexing like if a red is in the screen width how that particular item
812360	819680	should behave then we had like a flex basis which was acting like a maximum
819680	824600	maximum width a product that particular item can take right so these are the
824600	829800	things that we have learned already in the last class so how many of you are
829800	834560	feeling comfortable or you know feeling better of this properties because
834560	839280	everything you would see that comes with a practice like it will take time so
839280	845080	that you be good with them it will take time but at least by definition and by
845080	851440	yes you know whatever I have tried to explain so you if you are able to
851440	855600	understand this one please give me thumbs up and we can go ahead with the
855600	864760	great part today if anyone have doubt on flex layout or using a display as flex
864760	872040	drop me a question we'll take it up in the doubt session okay now let's get
872040	878280	started with great guys let's get started with great
882240	890160	okay now how many of you remember are this one matchbooks where we were
890160	895880	supposed to write one two three initially in our childhood it used to
895880	906680	look like this one isn't it okay no worries I just tried to revise it but
906680	911160	you will be able to feel comfortable once you watch the session okay but how
911160	915520	many of you remember this book guys which had boxes and used to fill in one
915520	923400	two three four right so grid also works in a same way where earlier when we
923400	929520	talked or discussed about flex right we thought in terms of X and Y axis and we
929520	936880	were aligning items along X axis either or along Y axis but here this is not the
936880	943500	case here you can define how many rows and how many columns you want like same
943500	947340	way how we define an array when you initialize an array you're supposed to
947340	953860	give the rows and columns isn't it like you provide maybe three rows and four
953860	959500	columns right but when it comes to CSS you also have to define many properties
959500	964460	like width height and all other things we'll see how we can leverage this
964460	970940	layout and build really complex one in a very easy format so I don't really have
970940	975380	anything to say on theory part but it's just a 2d layout where you can always
975380	980260	configure items on rows and column because you have an ability to deal on
980260	985940	change those things okay we'll see more on a practical basis like how this thing
985940	992820	works let's go and start with the directly visual studio code
993820	1011700	I'll start as a class 6 let's say we have one index start HTML so firstly I'll
1011700	1016700	try to set up a basic layout guys such that we can get started with actual grid
1016700	1021980	right but till then whatever code I'm writing if you feel any challenge in
1021980	1026140	that also right help me out understanding a problem I'll try to
1026140	1033780	answer that okay so let's say I say this is a good now inside body let's say what
1033780	1039580	I'll do is now I'll show you some of the shortcuts guys like m8 one what I'll do
1039580	1047980	is that I'll say def dot container okay once I have this and I click enter now
1047980	1057140	just see whenever I use dot operator what does it mean in HTML files what do
1057140	1061040	we exactly mean when we say dot operator class right let's say now I'm
1061040	1067500	clicking enter it has built a div with this class as a container so I don't
1067500	1072660	need to type down every the HTML element so you can leverage Emmet to do this
1072660	1083220	okay now let's say I go and build something like def okay and I say item
1083220	1090380	and I multiply it by 9 now what I'm saying that created a with item class
1090380	1095940	and nine times so when I click enter it has built me this night now what I'll do
1095940	1100580	I'll just you know type down all the numbers so that we can create these
1100580	1103060	boxes
1105380	1113820	okay once we have this now let's go to style let's explore open this in preview
1113820	1119700	right we are having them all in a one line since all the items are block in
1119700	1127100	nature okay once again this is Emmet abbreviation Emmet shortcuts guys so just
1127100	1134260	I'm using whatever element you have and then you can use hash for IT or dot for
1134260	1139060	your class and that's I'm using item one when I do item one and click enter it
1139060	1145420	will be they will be created with it's an automatic if okay
1147700	1154780	now let's go and create style block inside style block first they will give
1154780	1160100	some basic properties to the container before coming into the container now I
1160100	1164580	if you see here I'm having here space on the top on the left side I see some of
1164580	1171940	the padding how can we remove this guys how can we remove this because there's
1171940	1178460	something coming by default right we have to say that whatever padding or
1178460	1184540	match margin by default div is having I want to override it with 0 0 let's say
1184540	1190340	I say 0 and padding as 0 see now those are aligned to the start of the page
1190340	1197780	right next I'll go and define some CSS in the for the body type whole items
1197780	1202860	whichever present in the body I'm assigning to them okay now what all
1202860	1206900	things I'll apply so let's say we make like just trying to increase the font
1206900	1211420	size I say 20 pixel of each number whatever content is there in the whole
1211420	1217540	page then how many of you remember line height
1217540	1224340	line height do you remember line height
1224820	1231580	right so let's say if I give 1.5 what just happened for each line it just took
1231580	1239740	1.5 times of height right like increasing it for text ankit I think I
1239780	1249340	already had it in class for when you go for font text I've used here this line
1249340	1255060	height you can explore this one it will be there already okay like what is it
1255060	1259500	exactly like if you have a paragraph how much each line should be a half height
1259500	1265300	off so that's our basic different basic definition then let's say I use a color
1265500	1272980	as a dodger blue so what I did is like I just converted this color now let's say
1272980	1281340	I give some background color as a tomato okay looking really odd but will make it
1281340	1287620	look good now coming back to this one container okay so here where we learn
1287620	1291620	all the things but before coming to this one let's let's keep do something let's
1291620	1297900	give some width to the container as of now let's say 600 pixel and let's say
1297900	1305180	height is somewhere around 550 pixel once we have this height and width yeah
1305180	1315540	right yeah 1.5 times of font size 1.5 times okay now let's say I have a
1315540	1322340	border of 2 pixel solid black
1326060	1334740	okay and let's say I also give some margin to it by default I say 100 pixel
1334740	1344100	right now I say that auto okay now is what do you think this is when I say
1344140	1352700	auto or do you think exactly what I'm trying to do here I'm just introduce
1352700	1356420	this one I'll overwrite this one but whenever I'm using somewhere or to what
1356420	1361740	does it exactly like do you feel like when if I even if I'm increasing
1365420	1372900	yep I mean it will try to give depending on right let's say exact screen width it
1372900	1377140	will automatically calculate how much you need it let's say I if I explore
1377140	1386020	open this if I open in the live server I'll show you this how this one works
1387180	1395620	not exactly center but if you see
1396620	1398620	no
1402060	1413220	if I select this and if I go for you know margin inside container if you see
1413220	1418660	it's 267 if I keep extending it is automatically cali calculating and
1418660	1424340	putting it in the center so among as you said it is right only but auto adjust
1424500	1431580	automatically it will calculate such that all the items are in center is it
1431580	1438540	okay guys it's just like flexible one like as as soon as you increase doesn't
1438540	1446660	matter but it will put items into the center okay now once the margin is done
1446660	1451940	like what's next is what's next an item that we can add here by default can we
1451980	1464460	some padding okay I'll get I'll explain that copy so if you see here I am
1464460	1471660	selecting container and by default I've give margin a top and bottom as 100 but
1471660	1477180	the other margin I kept it as auto currently it shows 453 pixel but if I
1477620	1485780	keep decreasing okay up to an extent okay it up to an extent now what is an
1485780	1491140	extent is like till that width is hit okay till that width is hit but if I
1491140	1496020	increasing over the width on to the top of it how however you increase it
1496020	1501340	doesn't matter it will distribute the equal amount of margins above 550 pixel
1501340	1506780	of width like we since we have defined with the 600 pixel now if you are
1506780	1510860	increasing the screen width now if you see a screen with this 1220 it will do
1510860	1516660	1220 minus 600 and whatever is remaining it will distribute it and put that
1516660	1520220	particular container in the center
1520980	1528300	it won't take whole size of L&R left and right yeah it is taking if you see yeah
1528300	1531900	it will put it in center auto is like just like calculating whatever left and
1531900	1535940	right you want you distribute on yourself
1537780	1546060	did you get this point okay now moving ahead once we added padding let me open
1546060	1557540	this up it let's say I give width I reduce this 500 of width or 450 pixel of
1557540	1567300	width just to see this one okay now going next next race now earlier if I
1567300	1574500	used to do display and as soon as I give flex do you see would you what would
1574500	1579660	happen guys what is expected to happen if I give
1579660	1582740	display as a flex
1583740	1593780	yes if I apply display as flex as of here what is supposed to happen on the
1593780	1600700	container level yeah all items will move in the row right let's let's just let's
1600700	1605620	let's see okay all the items are moving in a row as suggested but before coming
1605620	1611000	to this display property let's add some margins and borders to this each item
1611000	1617640	okay each item let's give some basic styles let's say I select item and let's
1617640	1623000	say background color I would give it like again for this one also I'll give
1623000	1629360	as a dodger blue but will override color property that we defined a bow as smoke
1629360	1631760	white
1635160	1646440	sorry white smoke okay then I'll give something like a border one pixel solid
1646440	1656640	black then we'll give some like padding eight pixel that's okay now if I give
1656680	1664320	again let's say as a flex it is supposed to move all the elements and it is
1664320	1671320	consuming all the height okay but now let's say if I give it as a grid let's
1671320	1677280	see what's happening by default when you apply the grid there is no chain isn't
1677280	1681120	it these are block level elements and they're supposed to be render this way
1681120	1688880	and these are rendered in such in such format itself isn't it right so by
1688880	1692960	default when it's not a directional base it is a 2d direction so by the
1692960	1697040	until unless you go and do the formatting there's nothing being
1697040	1703300	applied here okay once if you do it here how can you play around with the 2d
1703300	1707640	format like how can you define number of rows into number of columns that's where
1707640	1712800	we are going to enter now let's say if I go with grid template columns now
1712800	1718840	inside template columns I can say that how many columns I need firstly for
1718840	1723360	that let's say I say that I need hundred pixel one then let's say I need hundred
1723360	1728720	pixel two and then also I need another hundred pixel three now what I just say
1728720	1734240	it here what I defined it here is that I've created a display of a grid
1734240	1740400	format then I told that I need three columns now how many ever you
1740400	1745480	define here you have to define each column and its respective height size
1745480	1751000	okay column whatever width is there okay what we have done we have created three
1751000	1755320	columns and we gave each column as a hundred pixel now if I create again add
1755320	1761800	a hundred pixel the fourth column will be created is this clear like how this
1761800	1769080	is working first template grid template columns guys how many of you understood
1769080	1773720	this one if there is someone who didn't understand can they can give me
1773720	1781000	thumbs down okay I hope this point is clear like this this is how you define
1781000	1786920	columns like when we thought about an array also or a grid format you always
1786920	1790600	deals with the rows and columns I'm trying to show like if you want to create
1790720	1796000	a column this is how you do it specifying each particular column like
1796000	1801240	number of columns individually like that pattern okay now there are many ways
1801240	1808600	that you can define this way let's say you can give 25 pixel 25 sorry percentage
1808600	1815760	and then 25 percentage okay then again 25% so it accepts all the units that you
1815800	1821160	generally see even there's a new unit that I want to introduce something
1821160	1830120	called as VW okay does anyone know what is VW
1830120	1835440	height is we have given already right for container we have defined it but I'll
1835440	1843880	tell you I'll come to that I'll come to that view width okay viewport width
1843920	1850360	generally so we are saying that does 25% and viewport width is equal
1854440	1862200	no right so but even if I yeah exactly so it's not but I was just trying to
1862200	1866440	show you that all it accepts all the units so we'll go with the percentages
1867040	1876040	but this is fine but what if I have the grid specifically gives us a one of the
1876040	1881480	better way to describe how the element should be distributed and this is the
1881480	1885760	one of the industry standard how they distributed like let's say if I use a
1885760	1899320	word like 1fr okay then I say that 2fr let's say 2fr then I say again 1fr okay
1899320	1907180	what do I exactly mean by this 1fr or 2fr 1fr fr goes for frame rate okay now
1907180	1911680	how this is calculated how this is calculated let's go let me save this
1911760	1917480	let's go to here let's come here now if you see here what what's happening here
1917480	1922320	okay what I'll select something this element selector let's remove the as of
1922320	1929280	now responsive layer okay if I go and select this one and apply on the
1929280	1936600	container item level one item one right what is the width and height of it okay
1936640	1944960	what is the width and height of it guys if I increase this nothing is applying
1944960	1952200	but I'm getting us 94 pixel nothing is affected here till you click enter but
1952200	1960520	what can you see here what is the width and height of this particular element
1961000	1972160	let's say if I select item 2 it's it's w into h guys 165 is a height 207 is
1972160	1981160	width right now if I go for item 3 it is still showing 94 okay now coming this
1981160	1986800	is just a mathematical definition here like if I write down let's say your whole
1986800	1993080	container width okay let's say if I define how I can say that is that what
1993080	2000040	is the container width guys here 450 pixel right can you see here container
2000040	2007960	width is 450 pixel now this container pixel is divided by whole summation of
2007960	2016480	frame rates how many frame rates we have here if I sum them 4 right now let's say
2016480	2021260	if I have four some rates what could be the each some rate each frame rate
2021260	2023520	value
2027600	2038320	right 1 to 1 point 1 to 1 to 0.5 right now so what happens here what happens
2038320	2045360	here is that whenever you are giving in frame rates what it divides is what it
2045360	2050900	does is like it takes a whole width and it do the mathematical equation before
2050900	2055880	the behind the scenes and each column now let's say when you select one FR it
2055880	2063480	will have width of 1 to 1.5 okay now let's go back and see do we have 1 to
2063480	2073840	well point width now if I select item 2 let's item 3 now 94 plus a like if you
2073840	2082120	calculate 8 what could be the unit let's say 16 like if you calculate this one
2082120	2092760	right 16 plus 2 18 right width padding is 8 plus 8 16 plus 2 18 plus 94 are you
2092760	2105360	getting that 1 to l point 5 right so if you calculate this one so that is what
2105360	2111880	here we are getting it now whenever you say one frame rate how comes 18 guys
2111880	2116800	padding is also considered into width right when we are using here we didn't
2116800	2123160	use box a border box I mean box sizing if I use box sizing as a border box then
2123160	2131000	you will be able to see exact frame rate right that's what we learned right sorry
2131000	2138920	here it got reduced now if you use calculate this one do I need to do the
2138920	2147880	sum also let's say write down this let's say we are getting the height of this
2147880	2157400	box as 88 just let me write down somewhere here only 88 plus 16 what is
2157400	2168840	the sum guys 88 plus 16 94 plus 8 102 104 104 point 104 only now so what what I'm
2168840	2172480	supposed to explain I'm trying to explain here is that whenever you are
2172480	2176760	dealing in terms of frame rates whenever you are dealing in terms of frame rate
2176760	2182720	right that generally width whatever width you get it by default okay whatever
2182720	2187840	width you are getting it by default is equivalent to your total width of a
2187840	2196240	container divided by total frame rates is that point clear like how each
2196240	2202400	column is getting this width or how it is being calculated is that point clear
2202400	2208040	guys what we exactly mean by frame rate and how it can be calculated let's say
2208040	2212360	if I if I reduce it right let's say we have a 4 right let's say I reduce it to
2212600	2221160	100 now 400 the calculation becomes simple now let's say it becomes 400
2221160	2228440	divided by 4 which is equivalent to 100 right now let's say going back and
2228440	2236980	refreshing this one we select item 1 and go here and see this so if you see 82
2236980	2241620	plus 16 plus 2 which is 100 right
2247540	2253900	right so we when we give this exact unit right which can be divided by exact I
2253900	2258860	mean if you have a right value which which are when you are dividing by the
2258860	2262700	frame rates if you're getting it 0 it you will get an exact distribution but
2262700	2266500	if you have something like other pixels then you have somewhat here and there
2266740	2270620	but I hope you got the basic understanding like how the frame rates
2270620	2280100	are decided and what the value get it is that clear guys okay now anyone having
2280100	2284820	any doubt on the frame rate is every FR is clear if anyone is having still
2284820	2291820	challenge can I can have some can't we fix flex along with the column size
2291820	2300340	sorry I didn't flex and grid template column shunt firstly grid template
2300340	2305540	columns this particular property is only applied when display is grid now you can
2305540	2311780	be only apply flex to the display and once you apply display as a flex then
2311780	2315660	you have a separate properties which can you use to move the items here and there
2315660	2319420	using those list of properties that we just introduced when we are doing a
2319420	2324260	recap okay but to answer your question you you may you wouldn't be able to do
2324260	2332860	that here okay so once the frame rates are clear now guys this there are few
2332860	2340420	reusable functions that you can use it okay let me come to them let's say one
2340420	2347100	function is called as repeat now what repeat does is like repeat is generally
2347100	2351820	because if you if you see this let's say you have a website I didn't under I
2351820	2359100	didn't understand for okay okay so what I let's say I make it this as a 450
2359100	2367380	itself okay now I made as a 450 now what I did is like once I have a 450 width
2367380	2372380	now and I'm dividing total frame rates are by 4 each frame rate is supposed to
2372380	2382500	be 1 to l 0.5 of pixel how come 4 will be there like 1 plus 2 plus 1 3 plus 1
2382500	2390420	4 because I am using 4 free like a first some of 4 3fr like all their first is
2390420	2399340	that clear among like what is the sum of yeah like I am calculating this like
2399340	2404740	sum of all these elements like 1fr plus let's say what is this sum right or
2404740	2414060	let's let me write down here that 4 also how I'm getting 1fr plus 2fr plus 1fr
2414060	2419620	that's how we have been able to utilize it for easier calculations I am giving
2419620	2426980	400 pixel now coming back to this one guys what does repeat does now if you go
2426980	2431420	for a website site most of the times what happens is like you don't have
2431420	2436300	really like too many columns or how do you define it or if there is something
2436300	2441420	that all the columns are of same size like a table format if you see in the
2441420	2447500	most of the tables you have a equal sized columns for those use cases what
2447500	2451860	you can do is that you can use a repeat function what does repeat function takes
2451860	2457260	is that it takes two value it says that hey can you give me a number of columns
2457260	2464580	you need and the width of each column okay once you keep this function and call
2464580	2469420	it it is supposed to return its returns is this in this format let's say if I
2469420	2478220	give it like repeat I say give me three columns of 1fr each okay so what it will
2478220	2483260	return is here at runtime it will return what it what it does is like it
2483260	2490700	creates like 1fr 1fr and 1fr this is how it works behind the scenes no so I'll
2490700	2495100	just show you the exact like like how you can leverage it let's say I go and
2495100	2500480	write a repeat function inside that I give that one like three columns and I
2500480	2505580	say that 1fr let's say for calculation specific I'll use 4 where you will be
2505580	2510980	able to see 100 pixel because with this 400 pixel okay so you are creating four
2510980	2516260	columns each one of one frame rate by if you go by calculation you are supposed
2516260	2522500	to have hundred pixel each column right let's say we go and see it here on the
2522500	2530140	item one you calculate 82 plus again the same padding and this one okay is this
2530140	2540300	clear guys what does repeat does for us if R is a fractional unit yeah sorry let
2540300	2549940	me check the definition of it give me a second
2549940	2563860	yeah fractional unit you can say that but we can't use if you want a different
2563860	2571420	fr right if you want different as fr then we cannot use this repeat function
2571620	2581340	okay I'll write down this fractional unit so repeat can be only used when you
2581340	2587100	want to replicate same like same width let's say even not fr in terms of let's
2587100	2592540	say you want a hundred pixel one also okay or let's say you want a ten pixel
2592540	2598540	one also it's up to you whatever you can define but if you want like only to
2598540	2604420	repeat the columns then only you go for this one is that clear guys like what
2604420	2614500	went to use repeat and what is the use case of repeat is okay great now once
2614500	2619260	this is clear now then there are few things guys that I want to explain now
2619260	2625540	if you see here let's go and let's save this and let's see like what what's
2625540	2631180	happening here if I go for increase and decrease this one there wouldn't be
2631180	2634580	nothing happening because I'm not playing around with a container but I'm
2634580	2640340	playing around with this one okay but what I wanted to show you is that let's
2640340	2646540	say I have fixed the size of hundred pixel what if we want this to be act
2646540	2652180	like a flexible thing like if you want to give a range of values like where it
2652180	2658660	can take let's say now if you see even if I'm reducing it it is still like
2658660	2663780	reducing in an equivalent size but what if we want to give them a variable size
2663780	2669660	like a range of values for that also grid has given us a function which is
2669660	2678540	called as min max okay min max what does min max does is it takes two values
2678540	2684260	again where you can define it like what could be the minimum value and maximum
2684260	2695540	let's say you have 80 pixel to 1 fr okay or else let's say 50 pixel there's
2695540	2700860	nothing changed here nothing changed as of now right but what we are saying is
2700860	2706740	that let's say but I'll show that when this thing will change but is the
2706740	2711260	definition of min max is clear like we are saying that whatever columns you are
2711260	2716820	creating the column size can be anything between 50 pixel to 1 fr which is like
2716820	2726780	100 pixel so there where it can vary from that to that range okay now once
2726780	2732820	this is done now what if we don't know right we never know that like the number
2732820	2739260	of columns will be always consistent like what if we want like some property
2739260	2745340	like flex wrap like what if like there is a space more space coming up and the
2745340	2751380	instead of going on a second row like 5 6 7 and it can accommodate here itself
2751380	2757300	right that sort of it should be we should be it should be able to take that
2757300	2763100	right like something like flex wrap like let's say if I'm increasing the
2763100	2769820	space let's say I increase the space
2769820	2774220	since I'm having a 1fr it is automatically will work fine but let's
2774220	2780620	say I make it as a hundred pixel okay now I make this width as a let's say 700
2780620	2785980	pixel now if you see there's enough space here do you see this enough space
2785980	2793260	on the right let's say I go to chrome there's a space but this space is wasted
2793260	2801260	right in a grid layer we want the space to be consumed isn't it what if we had
2801260	2805620	a flex wrap like it would have or took all the elements and if there is not
2805620	2810820	enough space only then it would have pushed to the next row right
2811820	2819460	yes if is anyone able to relate this right so for that reasons right what flex
2819460	2824940	or a grid team has done they have given us two values so if you are not sure of
2824940	2834020	about like let's say we told like firstly we'll define each column size okay what
2834020	2838380	if the column size always keep changing then we told that you can give a range
2838420	2844940	of values minimum maximum such that your fixed column size has become variable
2844940	2849820	now that it can range from here to here similarly what if we can make columns
2849820	2854620	also variable like it can do anything let's say for those things what grid
2854620	2860620	team has done is they have introduced two properties one is called autofill
2860620	2862620	and the other one is autofill
2870620	2874620	just let me check the convention guys
2878620	2880620	yeah I think this is it
2881620	2890620	okay now if you see what just happened if I go back again if you see this
2890620	2897620	autofill aligned all the elements in single like in one row we see only one
2897620	2906540	particular column isn't it now just let me check this autofill it shouldn't be
2906540	2917620	this convention yeah this one actually this is how it works if you see on the
2917620	2921820	container right what we have done we have told that of like if you see the
2921820	2928100	of this grid template we show we told that repeat all the columns autofill
2928100	2933700	the space if you have whatever space you have fill the each color take as many
2933700	2940780	columns you can take it and each column width whatever width can be it can be
2940780	2947980	ranged from 50 pixel to 100 pixel okay and what it does is that clear like how
2947980	2954060	this is working guys we are saying to repeat now as many columns you can fill
2954060	2958740	it as much you can fill it in a one row and each column can take between 50 to
2958740	2963420	100 now let's say what is the width of each box let's say what is the width of
2963420	2969340	each box now it's a still it is hundred no let's say if I try to reduce it if I
2969340	2978820	try to reduce the container with let's say if I'm trying to reduce it okay if
2978820	2984420	it is not able to accommodate new new party it will throw into the second row
2984420	2991180	like same as a flex wrap let's say I'm reducing it below 600 where maximum is
2991260	2996100	like 100 pixel what we have given if it comes below that the sixth element will
2996100	3004580	go down if I reduce below 500 for fifth element will also come down let's say if
3004580	3011700	I go below this now is this clear like how autofill is working if there is a
3011700	3017540	space available let's say if I make 900 pixel all the rows will be applied on a
3017540	3023900	same row itself like autofill is like trying to fill as many as elements can
3023900	3029940	come into the same row with this particular value minimum and maximum
3029940	3032940	okay
3034300	3038300	guys is autofill clear
3041980	3046460	anyone having any doubts till now whatever we have discussed anyone
3046460	3055180	having any doubts okay right now then there is something is that I want to
3055180	3058940	show you something called as autofit
3059740	3067620	now let's go back and see the see the property how it is behaving now I had
3067620	3077180	700 pixel I'll just reduce it okay do you see any change here do you see any
3077180	3082980	change here between autofill what if we give a thousand pixel give it thousand
3082980	3090700	hundred pixel not hundred pixel but a thousand pixel right all the properties
3090900	3102980	took their value and and you know are coming in one row is that clear like it
3102980	3107580	will consume a whole row and extra hundred pixel right with there you can
3107580	3115500	still give a new element if there is a new element it will consume it okay now
3115540	3122860	guys do you see any difference between autofit and autofill now I mean do you
3122860	3128140	feel anything till now like even if I'm reducing increasing still autofill and
3128140	3135060	autofit are working like a same right right they both are working like same
3135060	3143420	but now what does autofit does what does autofit does I'll show you
3145540	3153820	let's say I give it unit instead of fixed value since I'm using 50 pixel to
3153820	3160020	100 pixel it is supposed to take only 100 pixel as a maximum and these are
3160020	3164820	rendered as a hundred pixel space that's I use this hundred pixel because I can
3164820	3170200	show you exactly like how all the kind like elements are being moved to the
3170200	3177000	top bottom or the top but now let's say I go and give it as a fr here instead of
3177000	3190480	min and max I give it as a fr no what just happened what just happened is
3190480	3197200	think of it like why like what could be the value of one fr could come is by
3197200	3202640	default we say that seven hundred divided by one so it is consuming whole
3202640	3208720	space and all the elements are coming in one row but let's say I give one of the
3208720	3215440	value just let me take this okay
3215440	3227440	let's say we take this as this one where I'm trying to repeat autofitted and I'm
3227440	3230520	using min max
3232400	3242560	ranging from hundred pixel to one fr okay and let's say I'm having this 700
3242560	3247120	columns now let's go back here and see the some difference if there is some
3247120	3257400	difference happening if I increase reduce the space still there is no does
3257400	3260960	it look like any difference guys still
3263680	3269800	I got one answer but I want some other people to notice it
3270800	3277360	there's only one thing guys let's say I make it let's say instead of autofit I
3277360	3287360	give fi LL just observe if I'm reducing it if I'm increasing it I'm reducing
3287360	3291240	below 600
3291280	3306080	let's say instead of this one we'll give something like 80 to view this one instead
3306080	3313680	of one fr it will take in units only but let me show you yeah zoom in zoom out
3313680	3319080	okay let me show you one of the thing like a video which will show you exactly
3319400	3328800	difference between autofill and autofit to visualize this one better so what
3328800	3337240	happens is generally if you see like there are seven elements there are seven
3337240	3343920	elements okay and you have given some range like let's say you are even in the
3344480	3351400	yeah shrinking shrinking and expanding is becoming automatically I'll if you
3351400	3359720	see this example when I'm making it autofit the elements inside it whatever
3359720	3365880	elements you see inside that they shrink and you know increase in size if you see
3365880	3371800	the width of them are increasing according to this range okay if I what
3371800	3376880	was happening is earlier when I had a fill when I let's say I have a fill
3376880	3385800	again we were able to see the spaces in that right empty spaces in a row let's
3385800	3392800	say if I increase this one as a thousand pixel again if you see there is a space
3392800	3402760	but what if I make as a fit this is the difference so we had thousand pixel of
3402760	3410480	width so it can accommodate 10 items in it isn't it it can accommodate 10 items
3410480	3417200	of 100 pixel but we told that hey autofitted like you can take the space
3417200	3422560	each column width from 80 pixel to the 1fr unit now 1fr will come but
3422560	3427920	like when you divide a thousand pixel divided by one like 1fr if I convert
